,ARI,AMI,Homogenity,Completeness,V-measure,Silhouette
K-means,0.1599350817011545,0.24130115886696366,0.38440293646605533,0.28859059033740375,0.3296764855646758,0.08246914477957167
Affinity,0.1430530164533821,0.23546540467640337,0.4122017512365547,0.28126238146441745,0.3343701302763405,0.1320726315480644
Spectral,0.12673822433698498,0.19344425989320932,0.33510164314892166,0.2515776333772129,0.2873940897432247,0.0367738808753658
Agglomerative,0.16512563907320787,0.22998378109545373,0.36702975922680353,0.28318340685918314,0.31970050149002044,0.001395587530550036
